page_id,link_number,link_url,link_text,link_title,is_external,scraped_at
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,44,https://www.geeksforgeeks.org/stack-data-structure/,Stack,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,45,https://www.geeksforgeeks.org/sorting-algorithms/,Sorting Algorithms,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,46,https://www.geeksforgeeks.org/hashing-data-structure/,Hashing,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,47,https://www.geeksforgeeks.org/graph-data-structure-and-algorithms/,Graph,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,48,https://in.linkedin.com/company/geeksforgeeks,,,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,49,https://www.instagram.com/geeks_for_geeks/,,,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,50,https://twitter.com/geeksforgeeks,,,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,51,https://www.facebook.com/geeksforgeeks.org/,,,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,52,https://www.youtube.com/geeksforgeeksvideos,,,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,53,https://geeksforgeeksapp.page.link/gfg-app,,,True,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,54,https://www.geeksforgeeks.org/about/,About Us,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,55,https://www.geeksforgeeks.org/legal/,Legal,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,56,https://www.geeksforgeeks.org/legal/privacy-policy/,Privacy Policy,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,57,https://www.geeksforgeeks.org/jobs?search=geeksforgeeks&tab_type=featured,Careers,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,58,https://www.geeksforgeeks.org/about/contact-us/,Contact Us,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,59,https://www.geeksforgeeks.org/gfg-corporate-solution/,Corporate Solution,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,60,https://www.geeksforgeeks.org/problem-of-the-day,POTD,,False,2026-02-16T18:13:46.662213+00:00
b70bc479-38cc-4d10-9f43-d7f25d7ff60e,61,https://www.geeksforgeeks.org/explore?page=1&sortBy=submissions,Practice Problems,,False,2026-02-16T18:13:46.662213+00:00
